cohort,biosample,assembly_accession,relative_path,sha256,bases,contigs,sketch_size
walsh,SAMN31484043,ERZ26652074,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484043/SAMN31484043.fa.gz,8d7f88f53ea1bc7a79ae8c8a622fce9e6685f9385e99911ba389b207fabb1df3,2748901,32,2723
walsh,SAMN31484044,ERZ26652090,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484044/SAMN31484044.fa.gz,31bb1ecb0978b3097b1cfbbc6357699ea49508a0a8ec6a04de0e7acf8ca335bb,2770097,32,2785
walsh,SAMN31484045,ERZ26652099,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484045/SAMN31484045.fa.gz,b18566b0227a82fc9b1a6383c9d0f342d1c1ae548c6e134e7cca06c5eb65107b,2772777,42,2771
walsh,SAMN31484046,ERZ26652106,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484046/SAMN31484046.fa.gz,d322b7d9c57c2b34402c5187526b6bd7def10ef30637c74cc647efa5e15ec331,2731657,31,2723
walsh,SAMN31484047,ERZ26652115,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484047/SAMN31484047.fa.gz,254fc9d2bfafc48bac75e0eb402cb1304f0502a70a0ca23ce7b122195f526973,2752724,31,2697
walsh,SAMN31484048,ERZ26652122,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484048/SAMN31484048.fa.gz,172937a0bbb22691ae9f16027f48a829a0edd74db673ceed12f85f570dfdc400,2886114,81,2865
walsh,SAMN31484049,ERZ26652132,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484049/SAMN31484049.fa.gz,15a3fd404584fcc29db7e0c003a36604dd9315ade5724b3c3d860d485839b8d4,2904151,91,2881
walsh,SAMN31484056,ERZ26652208,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484056/SAMN31484056.fa.gz,31816381d018c5bf70aa37355948dbeb6ba64c06979127f29081d0a8a14cff92,2900090,61,2898
walsh,SAMN31484055,ERZ26652200,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484055/SAMN31484055.fa.gz,422df99ae2935e560598ae46103a56ae3e1ad4def63c1547260d9e6c93aa5b13,2876054,66,2887
walsh,SAMN31484057,ERZ26652216,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484057/SAMN31484057.fa.gz,3b489f51c1e07148f188e9e8e78cfee98db8d0959d239cdfdd5e604d2854d54f,2919007,67,2930
walsh,SAMN31484058,ERZ26652226,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484058/SAMN31484058.fa.gz,938f4222f9edb622dc0292c92b5f11d34d7a8e83794cf42ba09c91b4be6a59ff,2911425,59,2922
walsh,SAMN31484059,ERZ26652237,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484059/SAMN31484059.fa.gz,9406554a43346697f2727ae7e85ad972f9654192faae2208c8652f3d08b7ca99,2907777,70,2890
walsh,SAMN31484060,ERZ26652251,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484060/SAMN31484060.fa.gz,f2a4db1762a876982cfab7a8d53f1c43530615deedf2e90fe0a1ecbc898d22ce,2873203,67,2877
walsh,SAMN31484061,ERZ26652262,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484061/SAMN31484061.fa.gz,a8774cdc87c315c9f459819de0e5234271d7ca1f681c249f002a91da9976be77,2931280,85,2924
walsh,SAMN31484063,ERZ26652280,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484063/SAMN31484063.fa.gz,dc1492aa2575a70494f13fba70596c4c31408932c59ae146e5650a4e2ab6af97,2695064,52,2665
walsh,SAMN31484064,ERZ26652293,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484064/SAMN31484064.fa.gz,c76f4c390c95a087827aee6d3f8e8952f1a552f8211a00474d88945f0e5fa766,2650107,39,2626
walsh,SAMN31484065,ERZ26652302,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484065/SAMN31484065.fa.gz,620314808f2ec9c9a27d2ddca95cda99a12df0e8102eb443b43f82b7ce1269a0,2692721,39,2676
walsh,SAMN31484062,ERZ26652271,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484062/SAMN31484062.fa.gz,4bbb9beb130aaf4e6d73bc9341365b3fbf1eed82f0d5843271111044706fa883,2730669,43,2712
walsh,SAMN31484067,ERZ26652327,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484067/SAMN31484067.fa.gz,451d3f34f95951da4d02889e455cdd51b850604fbb0486ad37a2fbd91afcc99d,2881343,116,2847
walsh,SAMN31484068,ERZ26652339,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484068/SAMN31484068.fa.gz,a524719c1ea6c7e772b472b085a8b9d63bc3362ab768da8c8795ee3af1e83967,2978368,66,2977
walsh,SAMN31484076,ERZ26652416,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484076/SAMN31484076.fa.gz,95d5f80872ad592bcac907649d735043b8266665b13fbdc9cfb57507a688f29f,2802164,40,2738
walsh,SAMN31484077,ERZ26652425,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484077/SAMN31484077.fa.gz,111a091beeb2eedbd4fec1ab4021d55539dcf2fd466635584b4a2f9fe09d4033,2799623,31,2791
walsh,SAMN31484069,ERZ26652347,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484069/SAMN31484069.fa.gz,a8ad5358841bb19a5eeee96bf93460f43501a4a021188fc784080a42fe037f67,2807075,42,2881
walsh,SAMN31484070,ERZ26652357,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484070/SAMN31484070.fa.gz,9015978f3bfc5460a6ad0603a50c0c16021cb5a8cc709af8b58a05876ca99904,2805618,45,2825
walsh,SAMN31484071,ERZ26652366,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484071/SAMN31484071.fa.gz,3f402236d92ddec2ca2d4d5c27669833a0d554456ceb323a79edcb389faa5ced,2823855,32,2859
walsh,SAMN31484072,ERZ26652375,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484072/SAMN31484072.fa.gz,cce447a3e6bf65f1f666ee2da5d994528dc7ee56c650720d353bf9cc5f5b2718,2900924,49,2881
walsh,SAMN31484073,ERZ26652384,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484073/SAMN31484073.fa.gz,9d6fc58942ed6fc55f3aa56c2e008eec688c03ecd6b3e12d71cbee18cd4208d6,2822109,91,2886
walsh,SAMN31484074,ERZ26652393,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484074/SAMN31484074.fa.gz,8032a66228d77a2cd6813d91e0f30532524e953ab2567f7b1426f8caaa8a96ae,2761037,58,2826
walsh,SAMN31484078,ERZ26652434,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484078/SAMN31484078.fa.gz,72566e13cbbc91ebd0299864120b197c5d5d77fa57d9762cf227cef5e891f323,2870141,34,2865
walsh,SAMN31484079,ERZ26652443,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484079/SAMN31484079.fa.gz,cdd09c277f73fba76c19fd134046cd9199731c2beb50faa43ece8b4dc6879a09,2888709,55,2876
walsh,SAMN31484080,ERZ26652452,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484080/SAMN31484080.fa.gz,c285b68862c53d476d805bb79fd2749578b4486affdfe96beec23215f169dc97,2906274,58,2895
walsh,SAMN31484081,ERZ26652464,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484081/SAMN31484081.fa.gz,f61f327552b22d414e16061947c0df3931b26580da5c571eabfcc6f3f5bbb4bd,2884816,34,2875
walsh,SAMN31484082,ERZ26652473,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484082/SAMN31484082.fa.gz,0aebf4dbd6f04d7d7fc9588fb43fb0e84ee59a6b7d379d2ddcf5b5208aa726c3,2886640,45,2874
walsh,SAMN31484083,ERZ26652482,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484083/SAMN31484083.fa.gz,3cd4df6f81889f8d12247a3595d451f922e9323c7769b26b6f3c6ac3eaf160a6,2860660,50,2852
